STATEFP10,COUNTYFP10,Total,LON*POP,LAT*POP,LON,LAT
1,47,43820,-3813870.990609999,1420154.2825117982,-87.03493817001366,32.40881521021904
1,49,71109,-6102363.703703009,2450068.484634901,-85.8170372766177,34.45511095128466
1,51,79303,-6837950.553911496,2582078.129943099,-86.22562266133055,32.559652597544854
1,53,38319,-3344559.124635898,1191289.326469401,-87.28200434864945,31.088737348819148
1,55,104430,-8983633.346230796,3552050.009334712,-86.02540789266298,34.01369347251471
1,57,17241,-1513248.853600201,581477.2480209997,-87.7703644568297,33.72642236651005
1,59,31704,-2783407.425927403,1092535.0935975998,-87.79357260684465,34.46048112533433
1,61,26790,-2298282.9499935,833015.2393515992,-85.78883725246361,31.094260520776377
1,63,9045,-795272.6869457994,296951.9193107001,-87.92401182374786,32.83050517531234
1,65,15760,-1380987.185955999,516546.6829193,-87.62609047944157,32.77580475376269
1,67,17302,-1475320.3154316999,544642.6312242001,-85.26877328815745,31.47859387493932
1,69,101547,-8671223.741094595,3168728.473025403,-85.39123500541224,31.20455033654764
1,71,53227,-4574251.378951113,1848679.3601296984,-85.93855334606708,34.731984897320885
1,73,658466,-57164475.60307663,22070859.26832378,-86.8146200457983,33.51860121604423
1,75,14564,-1283229.171843599,491720.97660759994,-88.10966574042837,33.76276961051908
1,77,92709,-8122119.8189101,3232408.6709201,-87.60875232081135,34.86617988458618
1,79,34339,-2996848.085020104,1186195.5381854996,-87.27243323975958,34.54368322273507
1,81,140247,-11969504.91719264,4570382.2128063915,-85.345889161213,32.588092528228
1,83,82782,-7196982.922348483,2882106.062560902,-86.93898338223872,34.81561284531543
1,85,11299,-978704.7834467004,363403.1313570004,-86.61870815529696,32.16241537808659
1,87,21452,-1838758.1400919987,695596.9570252999,-85.71499813966058,32.425739186336926
1,89,334811,-28999069.81540187,11633474.287728615,-86.61325289611713,34.74639210697563
1,91,21027,-1846184.5653692975,680023.2548045997,-87.80066416366091,32.34047913656725
1,93,30776,-2704419.7108781044,1049824.6637363995,-87.87430825572214,34.111796976098255
1,95,93019,-8026918.210772805,3191665.582675603,-86.29331868513748,34.31197478660922
1,97,412992,-36413759.77101156,12672243.903366592,-88.17061776259966,30.68399364483233
1,99,23068,-2015239.6754560985,726771.4413557001,-87.36083212485255,31.505611295114452
1,101,229363,-19781136.520567346,7419015.811339297,-86.2437992203073,32.346175326182944
1,103,119490,-10387365.157402042,4124107.997350605,-86.93083234916763,34.51425221650854
1,105,10591,-925326.3895756996,345066.0729546,-87.36912374428283,32.58106627840619
1,107,19746,-1738959.3552977988,657403.0483118009,-88.0664111869644,33.29297317491143
1,109,32899,-2827624.9942962998,1045769.6409733,-85.94866088015745,31.78727745443023
1,111,22913,-1957395.841378801,762031.5495563996,-85.42730508352467,33.25760701594726
1,113,52947,-4503820.711094793,1716646.1513504998,-85.0628120780175,32.42197199747861
1,115,83593,-7219850.855169611,2813792.914751999,-86.3690841956816,33.66062845874654
1,117,195085,-16921269.833601914,6494519.9246191075,-86.73793389344088,33.29071904359181
1,119,13763,-1214345.6088997005,448321.7431474,-88.23262434786751,32.5744200499455
1,121,82291,-7090937.091873097,2746222.1399170067,-86.16904754922285,33.37208370194805
1,123,41616,-3573339.004757898,1367212.9811373018,-85.86454740383263,32.85306086931233
1,125,194656,-17036338.203518774,6465334.372849586,-87.52023160610908,33.21415406075121
1,127,67023,-5848023.352908699,2267713.7505827025,-87.25397778238363,33.83485893771843
1,129,17581,-1550401.7055581026,552225.6808457,-88.18620701655779,31.41036805902394
1,131,11670,-1019729.5477825998,373437.1184891001,-87.38042397451584,31.99975308389889
1,133,24484,-2140287.7670232984,836467.0849248014,-87.4157722195433,34.163824739617766
4,1,71518,-7825147.551581518,2544445.065072307,-109.41507804442959,35.577687646079404
4,3,131346,-14456353.905449916,4151499.995677992,-110.06314547416682,31.607357633106393
4,5,134421,-14999968.106198812,4773884.697744907,-111.58946969743427,35.514426300540144
4,7,53597,-5949745.444151998,1812841.3451292987,-111.00892669649416,33.823559996441944
4,9,37220,-4087220.7364458,1223322.040196898,-109.81248620219776,32.86733047278071
4,11,8437,-921732.3371235995,278171.28703789995,-109.24882507094931,32.97040263575915
4,12,20489,-2339275.1569467,694748.4253109996,-114.17224642230956,33.908361819073626
4,13,3817117,-427675835.8768104,127848241.08123824,-112.04158423145279,33.49340381267806
4,15,200186,-22870879.47867181,7020458.781842906,-114.24814661700528,35.06967910764442
4,17,107449,-11842204.24149814,3749285.19391051,-110.21232623382387,34.893625756503184
4,19,980263,-108770017.46789059,31580846.721146833,-110.96003569235052,32.2167078846665
4,21,375770,-41931607.18869677,12423006.181337893,-111.58849080207779,33.060133010452915
4,23,47420,-5260925.616157708,1490635.0645931002,-110.94318043352399,31.434733542663437
4,25,211033,-23692181.467565034,7307864.857704802,-112.26766177595465,34.62901469298547
