COUNTYPAIR_ID,STATE_FIPS1,GEOID10_FIPS1,STATE_FIPS2,GEOID10_FIPS2,distance_FIPS1,distance_FIPS2
18089-17031,18,18089,17,17031,0.11685654178827859,0.2570995598491428
18089-17091,18,18089,17,17091,0.2571350087054968,0.3247408365409698
18111-17075,18,18111,17,17075,0.14589490360726554,0.3083543955983601
18123-21027,18,18123,21,21027,0.14453688948424906,0.18545882130993416
18123-21091,18,18123,21,21091,0.08959099190688635,0.07026399209370418
18123-21163,18,18123,21,21163,0.21736424896170506,0.32827902158633104
18129-17059,18,18129,17,17059,0.2694738729779044,0.15530849383691575
18129-21101,18,18129,21,21101,0.10389823781182977,0.15763600075928058
18129-21225,18,18129,21,21225,0.15255752316956514,0.1208761973301137
18147-21059,18,18147,21,21059,0.09105799462161429,0.03687878454117259
18147-21091,18,18147,21,21091,0.0911282100559814,0.1236995013650631
18153-17033,18,18153,17,17033,0.18728926700034537,0.13892607664217563
18155-21041,18,18155,21,21041,0.05796590013475739,0.02800259500085323
18155-21077,18,18155,21,21077,0.050727973843972964,0.021140551250183198
18161-39017,18,18161,39,39017,0.11595797854332886,0.3341519785040547
18163-21101,18,18163,21,21101,0.03653657757821294,0.04445004473297585
18165-17045,18,18165,17,17045,0.09273323985139473,0.18306724654636403
18167-17023,18,18167,17,17023,0.14359053355222023,0.18478841115205882
18173-21059,18,18173,21,21059,0.1253656989373867,0.21739703604576996
18173-21101,18,18173,21,21101,0.08200575274060574,0.16677041234944837
18177-39135,18,18177,39,39135,0.13609250381006294,0.1898871447027361
19005-55023,19,19005,55,55023,0.22967937056076929,0.09659235155588654
19007-29171,19,19007,29,29171,0.15160994300706884,0.10612427529397905
19007-29197,19,19007,29,29197,0.21414709366421206,0.17346847028699328
19045-17015,19,19045,17,17015,0.19508787590257012,0.18871788627891803
19045-17161,19,19045,17,17161,0.10259697506495112,0.30432955288158314
19045-17195,19,19045,17,17195,0.11654882500200163,0.35347573046850655
19051-29197,19,19051,29,29197,0.16924781923875235,0.13201794812351322
19051-29199,19,19051,29,29199,0.1799760973881192,0.15608214893409655
19053-29081,19,19053,29,29081,0.1328601356468817,0.2602521915372661
19053-29129,19,19053,29,29129,0.1405369395877876,0.1612665899755955
